Category,Sub-category,Sub-sub-category,Name,Readable Name,# of bytes,Byte 1,Byte 2,Variable R/W status,Type,Argument(s) type(s) & value(s),Return type & value,Comments,Description
,,,,,1,00,,,Other,,,,
,,,\uf014DMS,►DMS,1,01,,,Postfix operator,,,,
,,,\uf014Dec,►Dec,1,02,,,Postfix operator,,,,
,,,\uf014Frac,►Frac,1,03,,,Postfix operator,,,,
,,,\u2192,→,1,04,,,Delimiter,,,,
,,,Boxplot,Boxplot,1,05,,,Other,,,,
,,,[,[,1,06,,,Text/Symbol only,,,,
,,,],],1,07,,,Text/Symbol only,,,,
,,,{,{,1,08,,,Text/Symbol only,,,,
,,,},},1,09,,,Text/Symbol only,,,,
,,,\uf001,ʳ,1,0A,,,Postfix operator,,,,
,,,\u00b0,°,1,0B,,,Postfix operator,,,,
,,,\uf005,ˉ¹,1,0C,,,Postfix operator,,,,
,,,\u00b2,²,1,0D,,,Postfix operator,,,,
,,,\uf002,ᵀ,1,0E,,,Postfix operator,,,,
,,,\uf00d,³,1,0F,,,Postfix operator,,,,
,,,(,(,1,10,,,Other,,,,
,,,),),1,11,,,Other,,,,
,,,round(,round(,1,12,,,Function,,,,
,,,pxl-Test(,pxl-Test(,1,13,,,Function,,,,
,,,augment(,augment(,1,14,,,Function,,,,
,,,rowSwap(,rowSwap(,1,15,,,Function,,,,
,,,row+(,row+(,1,16,,,Function,,,,
,,,*row(,*row(,1,17,,,Function,,,,
,,,*row+(,*row+(,1,18,,,Function,,,,
,,,max(,max(,1,19,,,Function,,,,
,,,min(,min(,1,1A,,,Function,,,,
,,,R\uf014Pr(,R►Pr(,1,1B,,,Function,,,,
,,,R\uf014P\u03b8(,R►Pθ(,1,1C,,,Function,,,,
,,,P\uf014Rx(,P►Rx(,1,1D,,,Function,,,,
,,,P\uf014Ry(,P►Ry(,1,1E,,,Function,,,,
,,,median(,median(,1,1F,,,Function,,,,
,,,randM(,randM(,1,20,,,Function,,,,
,,,mean(,mean(,1,21,,,Function,,,,
,,,solve(,solve(,1,22,,,Function,,,,
,,,seq(,seq(,1,23,,,Function,,,,
,,,fnInt(,fnInt(,1,24,,,Function,,,,
,,,nDeriv(,nDeriv(,1,25,,,Function,,,,
,,,fMin(,fMin(,1,27,,,Function,,,,
,,,fMax(,fMax(,1,28,,,Function,,,,
,,, , ,1,29,,,Text/Symbol only,,,,
,,,"""","""",1,2A,,,Delimiter,,,,
,,,",",",",1,2B,,,Text/Symbol only,,,,
,,,\uf02f,i,1,2C,,Read-only,Constant,,,Complex i,
,,,!,!,1,2D,,,Postfix operator,,,,
,,,CubicReg ,CubicReg ,1,2E,,,Function,,,,
,,,QuartReg ,QuartReg ,1,2F,,,Function,,,,
,,,0,0,1,30,,Read-only,Constant,,,,
,,,1,1,1,31,,Read-only,Constant,,,,
,,,2,2,1,32,,Read-only,Constant,,,,
,,,3,3,1,33,,Read-only,Constant,,,,
,,,4,4,1,34,,Read-only,Constant,,,,
,,,5,5,1,35,,Read-only,Constant,,,,
,,,6,6,1,36,,Read-only,Constant,,,,
,,,7,7,1,37,,Read-only,Constant,,,,
,,,8,8,1,38,,Read-only,Constant,,,,
,,,9,9,1,39,,Read-only,Constant,,,,
,,,.,.,1,3A,,,Text/Symbol only,,,,
,,,\uf000,ᴇ,1,3B,,,Infix operator,,,,
,,, or , or ,1,3C,,,Infix operator,,,,
,,, xor , xor ,1,3D,,,Infix operator,,,,
,,,:,:,1,3E,,,Delimiter,,,,
,,,\n,\n,1,3F,,,Delimiter,,,,
,,, and , and ,1,40,,,Infix operator,,,,
,,,A,A,1,41,,Read/Write,Variable,,,,
,,,B,B,1,42,,Read/Write,Variable,,,,
,,,C,C,1,43,,Read/Write,Variable,,,,
,,,D,D,1,44,,Read/Write,Variable,,,,
,,,E,E,1,45,,Read/Write,Variable,,,,
,,,F,F,1,46,,Read/Write,Variable,,,,
,,,G,G,1,47,,Read/Write,Variable,,,,
,,,H,H,1,48,,Read/Write,Variable,,,,
,,,I,I,1,49,,Read/Write,Variable,,,,
,,,J,J,1,4A,,Read/Write,Variable,,,,
,,,K,K,1,4B,,Read/Write,Variable,,,,
,,,L,L,1,4C,,Read/Write,Variable,,,,
,,,M,M,1,4D,,Read/Write,Variable,,,,
,,,N,N,1,4E,,Read/Write,Variable,,,,
,,,O,O,1,4F,,Read/Write,Variable,,,,
,,,P,P,1,50,,Read/Write,Variable,,,,
,,,Q,Q,1,51,,Read/Write,Variable,,,,
,,,R,R,1,52,,Read/Write,Variable,,,,
,,,S,S,1,53,,Read/Write,Variable,,,,
,,,T,T,1,54,,Read/Write,Variable,,,,
,,,U,U,1,55,,Read/Write,Variable,,,,
,,,V,V,1,56,,Read/Write,Variable,,,,
,,,W,W,1,57,,Read/Write,Variable,,,,
,,,X,X,1,58,,Read/Write,Variable,,,,
,,,Y,Y,1,59,,Read/Write,Variable,,,,
,,,Z,Z,1,5A,,Read/Write,Variable,,,,
,,,\u03b8,θ,1,5B,,Read/Write,Variable,,,,
,,,[A],[A],2,5C,00,Read/Write,Variable,,,,
,,,[B],[B],2,5C,01,Read/Write,Variable,,,,
,,,[C],[C],2,5C,02,Read/Write,Variable,,,,
,,,[D],[D],2,5C,03,Read/Write,Variable,,,,
,,,[E],[E],2,5C,04,Read/Write,Variable,,,,
,,,[F],[F],2,5C,05,Read/Write,Variable,,,,
,,,[G],[G],2,5C,06,Read/Write,Variable,,,,
,,,[H],[H],2,5C,07,Read/Write,Variable,,,,
,,,[I],[I],2,5C,08,Read/Write,Variable,,,,
,,,[J],[J],2,5C,09,Read/Write,Variable,,,,
,,,L\u2081,L₁,2,5D,00,Read/Write,Variable,,,,
,,,L\u2082,L₂,2,5D,01,Read/Write,Variable,,,,
,,,L\u2083,L₃,2,5D,02,Read/Write,Variable,,,,
,,,L\u2084,L₄,2,5D,03,Read/Write,Variable,,,,
,,,L\u2085,L₅,2,5D,04,Read/Write,Variable,,,,
,,,L\u2086,L₆,2,5D,05,Read/Write,Variable,,,,
,,,Y\u2081,Y₁,2,5E,10,Read/Write,Variable,,,,
,,,Y\u2082,Y₂,2,5E,11,Read/Write,Variable,,,,
,,,Y\u2083,Y₃,2,5E,12,Read/Write,Variable,,,,
,,,Y\u2084,Y₄,2,5E,13,Read/Write,Variable,,,,
,,,Y\u2085,Y₅,2,5E,14,Read/Write,Variable,,,,
,,,Y\u2086,Y₆,2,5E,15,Read/Write,Variable,,,,
,,,Y\u2087,Y₇,2,5E,16,Read/Write,Variable,,,,
,,,Y\u2088,Y₈,2,5E,17,Read/Write,Variable,,,,
,,,Y\u2089,Y₉,2,5E,18,Read/Write,Variable,,,,
,,,Y\u2080,Y₀,2,5E,19,Read/Write,Variable,,,,
